LastModifiedTime                   Size(B)  StorageClass   ETAG                                  ObjectName
2017-07-13 20:53:45 +0800 CST       103903      Standard   966F9DBF43EB149F75FD3D2B75887E4A      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461147634884.jpg
2017-07-13 20:53:45 +0800 CST       110889      Standard   BD9E6C13CF42B381F9274F6C585DBCD4      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461147638558.jpg
2017-07-13 20:53:46 +0800 CST        75793      Standard   0727CC96A81EF00AC6A793B52FBFB721      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461543346852.jpg
2017-07-13 20:53:46 +0800 CST       125897      Standard   AA8B64AC99C450ECB9DCFC369CB00418      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461569168431.jpg
2017-07-13 20:53:46 +0800 CST        90568      Standard   E448FAB0CF665E347CC3577D4A51DCC7      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461684154075.jpg
2017-07-13 20:53:46 +0800 CST       125897      Standard   AA8B64AC99C450ECB9DCFC369CB00418      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1461684969603.jpg
2017-07-13 20:53:46 +0800 CST       103688      Standard   B3ED6D1C9A5310FA19CF6EE9490C56D4      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1462982645516.jpg
2017-07-13 20:53:46 +0800 CST       223059      Standard   36D16D78199B926890BEE0C3F6E804BB      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1468076864987.jpg
2017-07-13 20:53:46 +0800 CST       131685      Standard   7967A52166CE8005F5C333A6E0C67096      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1468076894206.jpg
2017-07-13 20:53:46 +0800 CST       148794      Standard   C5A4DB8867E17D2145C354973B758AE6      oss://ubibi-photos/luan/20170713001/WeiXin/mmexport1468137041504.jpg
2017-07-13 20:53:46 +0800 CST            0      Standard   D41D8CD98F00B204E9800998ECF8427E      oss://ubibi-photos/luan/20170713001/baidu-images/
2017-07-13 20:53:46 +0800 CST        31681      Standard   9E23D64B5D8BD6F52AFB94F97D627240      oss://ubibi-photos/luan/20170713001/baidu-images/1471022043799.jpg
2017-07-13 20:53:46 +0800 CST        79167      Standard   64EC82D5DF716F53795ECC652470895A      oss://ubibi-photos/luan/20170713001/baidu-images/1471022049458.jpg
